epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
47,23830.1,0.68196,0.54447,1.23003,0.93358,0.93901,0.92671,0.78523,0.67349,0.47109,1.39653,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,24282.5,0.67152,0.54408,1.2215,0.93535,0.92678,0.92534,0.78288,0.6701,0.49417,1.40066,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,24732.4,0.67442,0.54285,1.22549,0.9669,0.92663,0.92779,0.78508,0.67003,0.49334,1.39517,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,25189.1,0.6701,0.52447,1.2229,0.92283,0.93086,0.93251,0.78752,0.67518,0.49702,1.3984,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,25650.6,0.66508,0.53083,1.21872,0.89775,0.92148,0.90848,0.75747,0.68148,0.53845,1.39722,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,26103.4,0.67009,0.53033,1.21941,0.9449,0.93787,0.93062,0.7794,0.67068,0.49479,1.3938,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,26553.7,0.66464,0.52623,1.21745,0.91677,0.94276,0.9347,0.78942,0.66868,0.48312,1.39113,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,27050.5,0.66673,0.51316,1.22126,0.92577,0.94631,0.93548,0.79271,0.66929,0.48048,1.3864,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,27623.3,0.66203,0.51767,1.21498,0.9347,0.94607,0.94073,0.79751,0.66539,0.4752,1.38511,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,28210.2,0.66405,0.51884,1.21446,0.9692,0.93062,0.93519,0.79409,0.66549,0.48132,1.38383,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,28716.8,0.661,0.51363,1.21441,0.95204,0.93452,0.92646,0.79147,0.66059,0.47386,1.37871,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,29176.3,0.65801,0.50214,1.21143,0.98132,0.92685,0.92452,0.78919,0.66365,0.46313,1.38112,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,29705.5,0.65187,0.50599,1.20693,0.88958,0.9404,0.93035,0.78975,0.66696,0.48889,1.38246,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,30250.5,0.6509,0.50022,1.20769,0.9465,0.939,0.92916,0.78973,0.65988,0.47488,1.38045,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,30840,0.65138,0.4953,1.20918,0.91747,0.94556,0.93273,0.79156,0.65907,0.49022,1.38115,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,31432.7,0.64676,0.49433,1.20438,0.89766,0.94967,0.9267,0.78517,0.6594,0.48801,1.38057,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,32011.2,0.65173,0.49559,1.20898,0.90858,0.9399,0.92263,0.78611,0.65951,0.49291,1.3789,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,32566.8,0.64686,0.48401,1.20726,0.91341,0.94518,0.92684,0.78629,0.66293,0.49323,1.38124,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,33091.2,0.64144,0.47272,1.19922,0.96186,0.94586,0.9337,0.7906,0.66098,0.48246,1.37672,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,33542.5,0.64453,0.47747,1.20486,0.95022,0.95238,0.94362,0.79658,0.66126,0.483,1.37907,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,34103.2,0.63838,0.47523,1.19688,0.96814,0.94048,0.93387,0.79364,0.65877,0.47539,1.37653,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,34660.2,0.64298,0.47528,1.20271,0.94452,0.94048,0.92533,0.78581,0.66258,0.49441,1.38205,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,35269.4,0.63695,0.46863,1.19836,0.96311,0.93437,0.93586,0.79344,0.66269,0.48295,1.3808,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,35850.7,0.63436,0.45721,1.19971,0.95699,0.94481,0.93669,0.79503,0.66365,0.477,1.38356,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
